cell_type,f1,precision,recall,support
CD14-positive monocyte,0.991282689912827,0.9875930521091811,0.995,800.0
"CD16-negative, CD56-bright natural killer cell, human",0.8794326241134752,0.9763779527559056,0.8,155.0
"CD16-positive, CD56-dim natural killer cell, human",0.9327925840092699,0.9189497716894978,0.9470588235294117,850.0
T-helper 22 cell,0.5742574257425743,0.5918367346938775,0.5576923076923077,260.0
"central memory CD4-positive, alpha-beta T cell",0.2694300518134715,0.19696969696969696,0.4262295081967213,122.0
"effector CD8-positive, alpha-beta T cell",0.783545543584721,0.6872852233676976,0.9111617312072893,439.0
"effector memory CD8-positive, alpha-beta T cell",0.5845648604269295,0.7035573122529645,0.5,356.0
gamma-delta T cell,0.3209169054441261,0.6829268292682927,0.20973782771535582,267.0
mature NK T cell,0.8842729970326408,0.9900332225913622,0.7989276139410187,373.0
mucosal invariant T cell,0.5416666666666667,0.5333333333333333,0.5502645502645502,189.0
naive B cell,0.9981981981981982,1.0,0.9964028776978417,278.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8024242424242424,0.7899761336515513,0.8152709359605911,812.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7281672816728169,0.6820276497695853,0.7810026385224275,379.0
