cell_type,f1,precision,recall,support,fold
B cell,0.5714285714285715,0.6666666666666666,0.5,4.0,4
"CD14-low, CD16-positive monocyte",1.0,1.0,1.0,2.0,4
"CD34-positive, CD38-negative hematopoietic stem cell",0.0,0.0,0.0,0.0,4
"CD4-positive, alpha-beta T cell",1.0,1.0,1.0,1.0,4
"CD8-positive, alpha-beta T cell",0.8,1.0,0.6666666666666666,3.0,4
"ILC1, human",0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0,4
IgA plasma cell,1.0,1.0,1.0,2.0,4
IgG plasma cell,0.0,0.0,0.0,0.0,4
IgM plasma cell,0.0,0.0,0.0,2.0,4
T follicular helper cell,0.9285714285714286,0.9285714285714286,0.9285714285714286,28.0,4
T-helper 1 cell,1.0,1.0,1.0,1.0,4
T-helper 2 cell,0.0,0.0,0.0,1.0,4
class switched memory B cell,0.6111111111111112,0.44,1.0,11.0,4
dendritic cell,1.0,1.0,1.0,1.0,4
"dendritic cell, human",0.7142857142857143,0.7142857142857143,0.7142857142857143,21.0,4
"effector memory CD4-positive, alpha-beta T cell",0.75,0.75,0.75,4.0,4
erythrocyte,0.923076923076923,0.8571428571428571,1.0,6.0,4
"erythroid progenitor cell, mammalian",0.8571428571428571,1.0,0.75,4.0,4
"group 2 innate lymphoid cell, human",1.0,1.0,1.0,1.0,4
immature B cell,0.5714285714285714,0.8,0.4444444444444444,9.0,4
myeloid dendritic cell,0.6470588235294118,0.6470588235294118,0.6470588235294118,17.0,4
natural killer cell,0.7499999999999999,0.6,1.0,3.0,4
plasmablast,0.0,0.0,0.0,0.0,4
plasmacytoid dendritic cell,0.9333333333333333,1.0,0.875,8.0,4
platelet,0.9500000000000001,0.95,0.95,20.0,4
regulatory T cell,0.0,0.0,0.0,0.0,4
unswitched memory B cell,0.0,0.0,0.0,6.0,4
